Title,Impact Factor,Type,H index
ieee/acmtransactionsonnetworking,3.11,journal,152
ieee/acmtransactionsonaudiospeechandlanguageprocessing,2.95,journal,20
ieee/asmetransactionsonmechatronics,3.9360000000000004,journal,104
ieeejournalonselectedtopicsinsignalprocessing,4.361000000000001,journal,83
journalofstatisticalsoftware,22.737,journal,103
molecularsystemsbiology,8.5,journal,123
bioinformatics,5.481,journal,318
journalofoperationsmanagement,4.899,journal,158
journalofserviceresearch,6.8420000000000005,journal,97
gigascience,7.267,journal,24
journalofsupplychainmanagement,6.105,journal,71
ieeetransactionsonfuzzysystems,8.415,journal,163
npjcomputationalmaterials,8.941,journal,10
npjquantuminformation,9.206,journal,9
ieeetransactionsonevolutionarycomputation,8.124,journal,145
ieeetransactionsonautomaticcontrol,5.007,journal,245
ieeetransactionsonneuralnetworksandlearningsystems,7.982,journal,169
internetandhighereducation,5.847,journal,66
ieeetransactionsoncybernetics,8.802999999999999,journal,60
msystems,5.75,journal,11
isprsjournalofphotogrammetryandremotesensing,5.994,journal,99
informationsystemsresearch,2.301,journal,135
ploscomputationalbiology,3.955,journal,138
scientificdata,5.305,journal,26
journalofcomputer-mediatedcommunication,4.0,journal,96
operationsresearch,2.263,journal,115
computermethodsinappliedmechanicsandengineering,4.441,journal,162
ieeetransactionsonsmartgrid,7.364,journal,102
recall,2.206,journal,28
physicsoflifereviews,13.783,journal,48
cognitivepsychology,3.1039999999999996,journal,104
statisticsandcomputing,1.851,journal,57
briefingsinbioinformatics,6.3020000000000005,journal,83
softrobotics,5.0569999999999995,journal,17
journalofchemicaltheoryandcomputation,5.399,journal,132
journalofmanagementinformationsystems,2.7439999999999998,journal,122
internationaljournalofroboticsresearch,4.047,journal,128
frontiersinneuroinformatics,3.074,journal,41
ieeetransactionsonpatternanalysisandmachineintelligence,9.455,journal,305
neuralnetworks,7.197,journal,121
internationaljournalofcomputervision,11.540999999999999,journal,165
ieeecommunicationsmagazine,9.27,journal,199
siamjournalonoptimization,2.1830000000000003,journal,99
ieeetransactionsonindustrialelectronics,7.05,journal,217
foundationsofcomputationalmathematics,3.056,journal,44
journalofinformetrics,3.484,journal,54
journalofcomputationalphysics,2.864,journal,205
computersandgeotechnics,3.138,journal,72
medicalimageanalysis,5.356,journal,105
ieeetransactionsonmedicalimaging,6.131,journal,187
journalofmemoryandlanguage,2.8289999999999997,journal,125
ieeewirelesscommunications,9.202,journal,129
oceanmodelling,3.013,journal,67
informationfusion,6.638999999999999,journal,72
ieeetransactionsonrobotics,4.263999999999999,journal,121
mechanicalsystemsandsignalprocessing,4.37,journal,121
computationalmechanics,2.7239999999999998,journal,82
computationalmaterialsscience,2.53,journal,91
informationsystemsjournal,4.2669999999999995,journal,74
journalofinformationtechnology,4.535,journal,66
ieeesignalprocessingmagazine,7.4510000000000005,journal,146
ieeegeoscienceandremotesensingmagazine,4.9319999999999995,journal,13
ieeejournalonselectedareasincommunications,7.172000000000001,journal,207
computerphysicscommunications,3.748,journal,142
journalofstrategicinformationsystems,4.313,journal,72
journalofmaterialsprocessingtechnology,3.647,journal,143
journalofscientificcomputing,1.814,journal,59
internationaljournalofgeneralsystems,2.931,journal,40
decisionsupportsystems,3.565,journal,115
informationsciences,4.305,journal,142
acmcomputingsurveys,5.55,journal,127
europeanjournalofinformationsystems,3.197,journal,88
ieeetransactionsonindustrialinformatics,5.43,journal,85
astronomyandcomputing,2.7539999999999996,journal,13
internationaljournalofcomputer-supportedcollaborativelearning,3.273,journal,46
neuroinformatics,3.852,journal,48
computersinhumanbehavior,3.536,journal,123
journalofmanufacturingsystems,3.699,journal,47
computationalandstructuralbiotechnologyjournal,4.148,journal,21
ieeenetwork,7.197,journal,106
informsjournaloncomputing,1.392,journal,65
journalofenvironmentalinformatics,4.521,journal,24
bmcbioinformatics,2.213,journal,176
structuralandmultidisciplinaryoptimization,2.8760000000000003,journal,88
journaloffieldrobotics,3.46,journal,77
acmtransactionsoncomputersystems,1.76,journal,64
cognitivescience,2.617,journal,94
ietcontroltheoryandapplications,3.2960000000000003,journal,91
archivesofcomputationalmethodsinengineering,6.605,journal,47
journalofcomputerassistedlearning,1.859,journal,76
internationaljournalofhealthgeographics,2.5,journal,59
europeanjournalofcombinatorics,0.9279999999999999,journal,38
knowledge-basedsystems,4.396,journal,82
ieeetransactionsonimageprocessing,5.071000000000001,journal,227
internationaljournalofinformationmanagement,4.516,journal,82
bitnumericalmathematics,1.425,journal,46
journalofchemicalinformationandmodeling,3.804,journal,137
acmtransactionsongraphics,4.3839999999999995,journal,168
computerassistedlanguagelearning,1.9280000000000002,journal,35
ieeeinternetofthingsjournal,5.8629999999999995,journal,31
algorithmsformolecularbiology,1.536,journal,29
journalofglobaloptimization,1.4069999999999998,journal,70
journaloftheassociationforinformationscienceandtechnology,2.835,journal,118
mechanismandmachinetheory,2.7960000000000003,journal,88
telematicsandinformatics,3.7889999999999997,journal,42
cyberpsychologybehaviorandsocialnetworking,2.6889999999999996,journal,112
internationaljournalofneuralsystems,4.58,journal,50
ieeecomputationalintelligencemagazine,6.611000000000001,journal,44
journalofintelligenttransportationsystems,2.164,journal,33
ieeetransactionsoninformationforensicsandsecurity,5.824,journal,85
journalofmachinelearningresearch,2.281,journal,160
expertsystemswithapplications,3.7680000000000002,journal,145
mathematicsofoperationsresearch,1.078,journal,66
internationaljournalofmolecularsciences,3.687,journal,95
journalofsemantics,1.5,journal,29
ieeetransactionsonsignalprocessing,4.203,journal,220
ieeetransactionsonwirelesscommunications,5.888,journal,177
acmtransactionsonmathematicalsoftware,2.905,journal,71
socialsciencecomputerreview,3.253,journal,56
inverseproblems,1.946,journal,94
journaloftheacm,1.744,journal,114
journalofcheminformatics,3.8930000000000002,journal,34
informationandorganization,1.857,journal,52
communicationsinappliedmathematicsandcomputationalscience,2.125,journal,17
internationaljournalfornumericalmethodsinfluids,1.673,journal,94
journalofintelligentmanufacturing,3.667,journal,63
ieeetransactionsonintelligenttransportationsystems,4.051,journal,102
advancedengineeringinformatics,3.358,journal,64
ieeetransactionsoninformationtheory,2.187,journal,241
advancesinengineeringsoftware,3.198,journal,61
computer-aidedcivilandinfrastructureengineering,5.475,journal,61
internationaljournalofcontrol,2.173,journal,99
ieeetransactionsonneuralsystemsandrehabilitationengineering,3.972,journal,114
smartmaterialsandstructures,2.963,journal,124
fuzzysetsandsystems,2.675,journal,144
ieeetransactionsonknowledgeanddataengineering,2.775,journal,138
autonomousrobots,2.244,journal,91
ieeetransactionsonaffectivecomputing,4.585,journal,40
finiteelementsinanalysisanddesign,2.253,journal,62
scientometrics,2.173,journal,90
journalofscheduling,1.153,journal,52
isatransactions,3.37,journal,54
internationaljournalofgeographicalinformationscience,2.37,journal,93
bmcsystemsbiology,2.05,journal,67
journalofprocesscontrol,2.787,journal,95
advancesindataanalysisandclassification,1.653,journal,19
foundationsandtrendsininformationretrieval,3.125,journal,23
neurocomputing,3.241,journal,100
internationaljournalofintelligentsystems,3.363,journal,66
internationaltransactionsinoperationalresearch,2.4,journal,41
controlengineeringpractice,2.616,journal,99
patternrecognition,3.9619999999999997,journal,168
swarmandevolutionarycomputation,3.818,journal,35
roboticsandcomputer-integratedmanufacturing,3.464,journal,72
ieeetransactionsoncloudcomputing,7.928,journal,25
journalofbiomedicalinformatics,2.8819999999999997,journal,76
computersinindustry,2.85,journal,84
internationaljournalfornumericalmethodsinbiomedicalengineering,2.338,journal,48
internationaljournalofsocialrobotics,2.009,journal,33
journalofheuristics,1.129,journal,57
topicsincognitivescience,2.2840000000000003,journal,42
vldbjournal,2.6889999999999996,journal,73
internationaljournalofadvancedmanufacturingtechnology,2.6010000000000004,journal,90
ieeejournalofbiomedicalandhealthinformatics,3.85,journal,94
computationalgeosciences,2.7260000000000004,journal,51
ieeetransactionsonparallelanddistributedsystems,3.971,journal,110
biodatamining,1.857,journal,20
electronicjournalofcombinatorics,0.762,journal,37
journalofbuildingperformancesimulation,2.603,journal,26
ieeetransactionsonmultimedia,3.977,journal,101
journalofbiomedicalsemantics,1.6,journal,26
multibodysystemdynamics,2.718,journal,54
epjdatascience,2.9819999999999998,journal,17
journalofcomputer-aidedmoleculardesign,2.356,journal,87
designstudies,2.133,journal,75
journalofelectroniccommerceresearch,1.6669999999999998,journal,20
networks,1.121,journal,52
signalprocessing,3.47,journal,105
journalofpragmatics,1.0390000000000001,journal,69
internationaljournalofadaptivecontrolandsignalprocessing,2.082,journal,56
semanticweb,2.224,journal,30
cognitivecomputation,3.4789999999999996,journal,28
evolutionarybioinformatics,1.8769999999999998,journal,25
technologypedagogyandeducation,1.58,journal,24
artificialintelligence,3.034,journal,129
fuzzyoptimizationanddecisionmaking,2.022,journal,44
siamjournaloncomputing,0.902,journal,90
engineeringapplicationsofartificialintelligence,2.819,journal,82
