Combinations,Mean Squared Error,Mean Absolute Error
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06846799145564753,0.16987756294419706
"['SJR', 'H index', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06893230166921142,0.17022598127341992
"['SJR', 'H index', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06895325874678296,0.16990039254904094
"['SJR', 'H index', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06897783375736853,0.170265889722266
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06900305467628154,0.1683137556815337
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06900925204869449,0.1683625921111851
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06903805870704355,0.16921238711273504
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06908149389589825,0.1680889732478884
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06908168718688043,0.1680639136357339
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0691244973727198,0.169325948638453
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06919837222493308,0.16917584799708246
"['SJR', 'H index', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0693374465002678,0.17056657461936395
"['SJR', 'H index', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06948023043263124,0.1689650194940161
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0695453171934679,0.16812616810908523
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06976173168982168,0.16730456542338984
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06980424350629608,0.16983183236660354
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06980757902824608,0.16722425370025154
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.06980782303395351,0.16984001523345385
"['SJR', 'H index', 'Total Refs.', 'Total Cites (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07017325795385136,0.16985130722478678
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07022362446168287,0.1693462418455637
"['SJR', 'H index', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07025592013882177,0.16862943076308412
"['SJR', 'H index', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07030456027430347,0.16955146437179955
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07040320427565326,0.16917796502846338
"['SJR', 'H index', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07043652610471118,0.16852974763418763
"['SJR', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.0704816027672425,0.16857992992287124
"['SJR', 'Total Docs. (3years)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07050888331199825,0.16834173429927518
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07054769158118904,0.16809769882131412
"['SJR', 'H index', 'Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07057419250380911,0.16942085557067516
"['SJR', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']",0.07057639527119924,0.16867186049549043
